,DBA,Business type,Bus address,"Bus City, State",Start date,Close date,Account #,Owner Name 1,License description,Rate type (STD),type,long,lat,closure_time,censor,zone,parcel
11644,Railroad House Rental LLC,Homestay,1789 SANTA BARBARA AVE,"SAN LUIS OBISPO, CA 93401-4451",2023-02-01,,119484,"Hughes, Michael",Real estate Rental,General Service,Service,-120.656476796578,35.275574208821,1129,0,R-3,003-552-011
11645,RailSplit Games,Home Occupation,778 BOYSEN AVE # 22,"SAN LUIS OBISPO, CA 93405-1346",2024-10-08,,120897,"Pomeroy, Evan J",,Professional Service,Service,-120.671686624669,35.296408259781,514,0,R-4,052-331-016
11646,Rainbow Auto Painting & Body,Auto Mechanic/Detailer/Services,760 FRANCIS AVE,"SAN LUIS OBISPO, CA 93401-5723",1988-01-04,2025-04-18,252,"Caruana, John",Automotive Paint & Repair,General Service,Service,-120.652663073122,35.26613368399,13941,1,C-S,004-923-010
11647,Rainbow Auto Painting And Body Inc,Auto Mechanic/Detailer/Services,767 FRANCIS AVE,"SAN LUIS OBISPO, CA 93401-5722",2011-07-05,2025-04-18,110211,"Caruana, John",Auto Body Repair,General Service,Service,-120.65252190181,35.266071413814,5358,1,C-R,004-925-011
11648,"Rainscape, A Landscape Svc Co",Landscaper,205 SOUTH ST UNIT A,"SAN LUIS OBISPO, CA 93401-5006",1984-07-01,,72846,"Hummell, Albert",Landscape service company,General Service,Service,-120.667802969385,35.269452298492,15223,0,M,004-811-034
11649,Raintree Apartments,Rental- Residential,1552 EL TIGRE CT,"SAN LUIS OBISPO, CA 93405-6467",1982-07-01,,72866,"Cliff, Ivan S",,Residential Rental,Rental,-120.692140207837,35.256867225427,15954,0,R-4,053-102-017
11650,Raised Impressions,Home Occupation,199 DEL NORTE WAY,"SAN LUIS OBISPO, CA 93405-1507",2008-08-18,2011-12-20,106443,"Lukes, Katherine",Braille Transcription,General Service,Service,-120.683132006572,35.293329864756,6409,1,R-1,052-353-001
11651,Rakeitin Enterprises LLC,Rental- Residential,3 RENTAL LOCATIONS,"SAN LUIS OBISPO, CA 93401-2661",2020-10-23,,117725,Rakeitin Enterprises LLC,Residential rental,Residential Rental,Rental,,,1960,0,,
11652,Rakesha Elliot Salon Glo,Beauty Salon,3212 BROAD ST STE 130,"SAN LUIS OBISPO, CA 93401-4726",2003-07-09,2011-09-01,14207,"Elliot, Rakesha",,General Service,Service,-120.649596347602,35.260906447248,8276,1,C-C,053-222-001
11653,Raku Ramen,Restaurant,799 E FOOTHILL BLVD STE A,"SAN LUIS OBISPO, CA 93405-1671",2014-06-04,,112079,Suthiwat Supina,Japanese Restaurant,General Retailer,Retail,-120.671049509016,35.294040863933,4293,0,C-C,052-171-048
11654,Raku SLO,Restaurant,857 HIGUERA ST,"SAN LUIS OBISPO, CA 93401-3609",2011-08-29,2014-01-25,110307,"Park, Tony",Japanese Restaurant,Downtown Association,Downtown Association,-120.662151465255,35.280219042901,5303,1,C-D,002-427-014
11655,Rall Revocable Family Trust,Rental- Residential,1351 ROYAL WAY #21,"SAN LUIS OBISPO, CA 93405-4911",2010-08-30,2016-10-13,108078,"Rall, Richard M & Jacqueline P",Rental - Residential,Residential Rental,Rental,-120.691536508351,35.259257299533,5667,1,R-2,004-611-068
11656,Ralph & Elaine Rudser,Rental- Residential,485 WOODBRIDGE ST,"SAN LUIS OBISPO, CA 93401-5518",1992-03-16,2007-09-24,4212,Ralph & Elaine Rudser,,Residential Rental,Rental,-120.659108244321,35.266808182455,12408,1,R-1,004-823-005
11657,Ralph A Jacobson,Rental- Residential,2 LOCATIONS,"SAN LUIS OBISPO, CA 93401",2000-12-28,,70393,"Jacobson, Ralph A",Residential Rental Property,Residential Rental,Rental,,,9199,0,,
11658,Ralph A Kettelkamp,Rental- Residential,324 N CHORRO ST,"SAN LUIS OBISPO, CA 93405-1375",1992-04-13,2022-06-20,5131,"Kettelkamp, Ralph",,Residential Rental,Rental,-120.672215259289,35.295830019627,12380,1,R-4,052-332-023
11659,Ralph A. Kettelkamp Unified Credit Trust,Rental- Residential,1 RENTAL LOCATION,"SAN LUIS OBISPO, CA 93401-2661",2022-03-21,,118263,"Singer, David",Rental Property,Residential Rental,Rental,,,1446,0,,
11660,Ralphs #656,Food Store,201 MADONNA RD,"SAN LUIS OBISPO, CA 93405-5401",2000-11-16,,12366,Ralphs Grocery Company,Retail Groceries,General Retailer,Retail,-120.675797679871,35.264281389331,9241,0,C-R,053-011-029
11661,Ram Enterprises,Rental- Commercial,202 TANK FARM RD STE B,"SAN LUIS OBISPO, CA 93401-7520",1989-10-09,2011-06-16,1748,,,Residential Rental,Rental,-120.668101972875,35.246860459719,13297,1,C-S,053-251-067
11662,Ramey Legal,Legal Services,3130 DUNCAN RD STE 103,"SAN LUIS OBISPO, CA 93401-6850",2022-09-13,,119176,"Ramey, Kevin J",Legal Services,General Retailer,Retail,-120.646046647553,35.26195828408,1270,0,M,053-203-004
11663,Ramirez Condo Rental,Rental- Residential,2250 KING CT #3,"SAN LUIS OBISPO, CA 93401-5506",2010-09-17,2021-06-30,109015,"Ramirez, Jamie",Condo Rental,Residential Rental,Rental,-120.662098138522,35.268095759459,5649,1,R-4,004-824-091
11664,Ramirez Consulting,Home Occupation,628 WOODBRIDGE ST,"SAN LUIS OBISPO, CA 93401-5652",2015-11-18,2023-04-15,113212,"Ramirez, Anthony",Planning & Engineering Consultant,Professional Service,Service,-120.656217198388,35.267350770146,3761,1,R-1,004-842-014
11665,Ramirez House Cleaning,Home Occupation,1255 ORCUTT RD SPC B24,"SAN LUIS OBISPO, CA 93401-5962",2011-09-15,2021-12-15,110339,"Ramirez, Maria",House Cleaning,General Service,Service,-120.640657808449,35.261334865211,5286,1,R-2,053-071-012
11666,Ramona Drive Rental,Rental- Residential,481 RAMONA DR,"SAN LUIS OBISPO, CA 93405-1607",2015-10-08,,113121,"Bevans, R. Scott",Residential Rental,Residential Rental,Rental,-120.677015070367,35.292825864423,3802,0,R-1,052-156-019
11667,Ramona Rental,Rental- Residential,296 RAMONA DR,"SAN LUIS OBIPSO, CA 93405",2021-07-01,,118653,"Lewis, Jacob B",Residential Rental,Residential Rental,Rental,-120.680288907964,35.292949456012,1709,0,R-1,052-141-018
11668,Ramsay Randolph P & Gladwill Lizbeth A Revocable T,Rental- Residential,7 LOCATIONS,"SAN LUIS OBISPO, CA 93401",2010-10-04,,109211,"Ramsay, Randolph P",,Residential Rental,Rental,,,5632,0,,
11669,Ramzi & Cynthia Shamieh,Rental- Residential,1781 TONINI DR,"SAN LUIS OBISPO, CA 93405-7431",2010-10-12,2016-04-26,109358,"Shamieh, Ramzi Or Cindy",Rental - Residential,Residential Rental,Rental,-120.691050074401,35.254274598323,5624,1,R-2,053-514-046
11670,Rancho Obispo LLC,Rental- Residential,1796 TONINI DR 64,"SAN LUIS OBISPO, CA 93405-7458",2008-11-20,,106661,"Camiel, Jack",78 Rental Units,Residential Rental,Rental,-120.690469486929,35.253778741292,6315,0,R-3,053-514-054
11671,Rancho San Luis Mobil Estate,Rental- Residential,3395 S HIGUERA ST,"SAN LUIS OBISPO, CA 93401-6958",1982-07-01,,73036,"Anderson, Beverly",Residential Rental Property,Residential Rental,Rental,-120.668883806736,35.254686369158,15954,0,R-2,053-181-049
11672,Rand Productions,Communications,51 ZACA LN STE 90-B,"SAN LUIS OBISPO, CA 93401-7399",2001-03-14,,12501,"Allen, Randall D",,General Service,Service,-120.672605564749,35.25089626408,9123,0,C-S,053-051-065
11673,Randal S Jaqua,Rental- Residential,1260 LAGUNA LN,"SAN LUIS OBISPO, CA 93405-4847",2010-11-09,2013-09-24,109681,"Jaqua, Randal S",Residential Rental Property,Residential Rental,Rental,-120.694567709229,35.26316913224,5596,1,R-1,004-261-079
11674,Randall & Barbara Feist,Rental- Residential,1106 OCEANAIRE DR #27,"SAN LUIS OBISPO, CA 93405-4940",2010-09-23,,109117,"Feist, Randall & Barbara",Residential Rental Property,Residential Rental,Rental,-120.693448199954,35.260804785786,5643,0,R-3,004-311-063
11675,Randall & Sherry Reed,Rental- Residential,277 RAMONA DR,"SAN LUIS OBISPO, CA 93405-1527",2009-12-22,2014-01-10,107497,"Reed, Randall & Sherry",Own Property That Son & Friends Occupy,Residential Rental,Rental,-120.680806134168,35.292834864659,5918,1,R-1,052-142-023
11676,Randall And Caryn Coffman,Rental- Residential,1284 DRAKE CIR,"SAN LUIS OBISPO, CA 93405-4908",2010-09-09,,108404,"Randall And Caryn Coffman,",,Residential Rental,Rental,-120.689978952023,35.262840368681,5657,0,R-1,004-341-020
11677,Randall Dennis,Rental- Residential,1622 ROYAL WAY,"SAN LUIS OBISPO, CA 93405-6334",2022-05-26,,118804,"Dennis, Randall",Rental Property,Residential Rental,Rental,-120.695909630594,35.257337484554,1380,0,R-1,053-122-050
11678,Randall F & Elizabeth E Ball,Rental- Residential,1392 BALBOA ST,"SAN LUIS OBISPO, CA 93405-4904",2000-12-15,,70042,"Ball, Randall F & Elizabeth E",,Residential Rental,Rental,-120.688056925732,35.261871041852,9212,0,R-1,004-381-038
11679,Randall Goodman,Rental- Residential,1321 OSOS ST # 260,"SAN LUIS OBISPO, CA 93401-4088",2024-11-01,,121402,"Goodman, Randall",,Residential Rental,Rental,-120.659314028259,35.279410533717,490,0,O,002-442-008
11680,Randall Harris,Rental- Residential,115 RAMONA DR,"SAN LUIS OBISPO, CA 93405-1557",2010-07-22,2013-03-31,107896,"Harris, Randall",Residential Property Rental,Residential Rental,Rental,-120.685757953385,35.292618864988,5706,1,R-1,052-361-012
11681,"Randall Lonsbrough, Dds, Inc.",Dental,628 CALIFORNIA BLVD STE F1,"SAN LUIS OBISPO, CA 93401-2542",1998-01-30,,10491,"Lonsbrough, Randall",Dental Specialist,Professional Service,Service,-120.656979788372,35.288823119961,10262,0,O,001-056-044
11682,Randall R & Judith B Harris,Rental- Residential,340 E FOOTHILL BLVD,"SAN LUIS OBISPO, CA 93405-1542",2000-12-28,2015-06-19,70344,"Harris, Randall R & Judith B",,Residential Rental,Rental,-120.679359080618,35.294194164958,9199,1,R-1,052-022-016
11683,Randi Montgomery,Rental- Residential,776&780 MILL,"SAN LUIS OBISPO, CA",1992-04-02,,5057,"Montgomery, Randi",Rental Residential,Residential Rental,Rental,-120.665202324097,35.282134912237,12391,0,R-2,002-308-006
11684,Randie Terese Molinelli,Massage,1238 MONTEREY ST UNIT 110,"SAN LUIS OBISPO, CA 93401-3104",2016-12-09,2017-06-30,114061,"Molinelli, Randie T",Massage Therapist,Massage Therapist,Service,-120.658065327385,35.28378603116,3374,1,C-R,001-222-012
11685,Randolph & Kayla Coates,Homestay,368 HIGH ST,"SAN LUIS OBISPO, CA 93401-5153",2018-07-02,,115108,"Coates, Randy",Homestay,General Service,Service,-120.664193016039,35.272240457015,2804,0,R-2,003-622-012
11686,Randolph & Tina,Homestay,543 BLUEROCK DR,"SAN LUIS OBISPO, CA 93401-5627",2019-02-25,,115582,"Scott, Randolph",Airbnb Homestay,General Service,Service,-120.654916901972,35.262189779248,2566,0,R-1,004-944-028
11687,Randolph S Lawrence Md,Medical Services,620 CALIFORNIA BLVD R,"SAN LUIS OBISPO, CA 93401-2541",1993-07-01,2008-12-01,6445,"Lawrence, Randolph S",,Professional Service,Service,-120.657032358802,35.288858166932,11936,1,O,001-056-044
11688,Random Task,Home Occupation,1410 BROAD ST,"SAN LUIS OBISPO, CA 93401-3912",2004-01-27,,15021,"Hardwick, David",Maintenance,General Service,Service,-120.662259505867,35.276511401668,8074,0,O,003-533-001
11689,"Rands Rentals, LLC",Rental- Residential,83 ENCANTO LN,"SAN LUIS OBISPO, CA 93401-7710",2014-01-08,,111850,"Rands, Barry",Rental Of 3 Bedroom Home,Residential Rental,Rental,-120.679054958391,35.242123216472,4440,0,R-1,053-263-085
11690,Randy & Betty Ellison,Rental- Residential,152 E FOOTHILL BLVD,"SAN LUIS OBISPO, CA 93405-1538",2010-09-13,,108648,"Ellison, Randy Or Betty",Rental-Residential,Residential Rental,Rental,-120.68475045273,35.294200456169,5653,0,R-1,052-536-006
11691,Randy & Karen Pauly,Rental- Residential,1944 MCCOLLUM ST,"SAN LUIS OBISPO, CA 93405-2044",2003-09-15,2017-04-14,14336,"Pauly, Randy & Karen",,Residential Rental,Rental,-120.651281913187,35.294241358898,8208,1,R-1,052-122-016
11692,Randy Avila,Rental- Residential,2801 JOHNSON AVE APT 13,"SAN LUIS OBISPO, CA 93401-5864",2001-03-21,,71080,"Avila, Randy",,Residential Rental,Rental,-120.64215711153,35.269582204629,9116,0,R-1,004-973-029
11693,Randy Walter,Rental- Residential,1284 ELLA ST,"SAN LUIS OBISPO, CA 93401-4108",2017-10-17,2022-05-03,114612,"Walter, Randy",Residential Rental,Residential Rental,Rental,-120.650388581491,35.276586670983,3062,1,R-2,003-578-015
11694,Randy X & Louise K Bello,Rental- Residential,4050 POINSETTIA ST,"SAN LUIS OBISPO, CA 93401-7628",2000-12-18,,70060,"Bello, Randy & Louise",,Residential Rental,Rental,-120.639963829987,35.248645368764,9209,0,R-2,053-086-029
11695,Range Master,Retail,11 HIGUERA ST,"SAN LUIS OBISPO, CA 93401-5414",1997-02-04,,9524,"Perry, Marcia & John",Valid for Retail Sale of Firearms,General Retailer,Retail,-120.670385642788,35.264975737652,10622,0,C-S,004-513-004
11696,Rangel's K-9 Obedience,Recreational Services,648 FELTON WAY A6,"SAN LUIS OBISPO, CA 93405-1169",2003-09-15,2007-06-14,14334,"Rangel, Nick & Becky",,General Service,Service,-120.674889104221,35.297105044339,8208,1,R-4,052-033-030
11697,Rapid Auto Sales,,2978 S HIGUERA ST,"SAN LUIS OBISPO, CA 93401-6604",2004-06-23,2010-01-15,15349,"Borm, Gary & Brenda",,General Wholesaler,Other,-120.668841872574,35.259570437024,7926,1,C-S,053-041-014
11698,Rapid Modeling Co,Architect,859 CALIFORNIA BLVD A,"SAN LUIS OBISPO, CA 93401-2901",2005-06-13,2007-01-02,17076,"Reynolds, Tyler",,Professional Service,Service,-120.655539933556,35.287065320799,7571,1,O,001-135-008
11699,Rapid Rubbers,Home Occupation,1117 VISTA DEL LAGO,"SAN LUIS OBISPO, CA 93405-4832",2009-06-15,2010-10-27,107065,"Watson, Stuart",Sell Prophylactics Online Only,General Retailer,Retail,-120.694765437324,35.264917791359,6108,1,R-1,004-272-050
11700,Rarig Construction Inc,Contractor- General,4540 BROAD ST STE 110,"SAN LUIS OBISPO, CA 93401-8728",1985-06-06,,73085,"N/a,",General Contractor,Contractor,Service,-120.638932688807,35.242103021761,14883,0,C-S,053-412-004
11701,"Rarig Development, LLC",Rental- Commercial,1980-1998 SANTA BARBARA,"SAN LUIS OBISPO, CA 93401",1997-08-28,,10164,"Rarig-leary, Laura",,Commercial Rental Property,Rental,-120.656093582472,35.272235046,10417,0,C-S,003-651-008
11702,Ras Enterprises,Home Occupation,1621 GATHE DR,"SAN LUIS OBISPO, CA 93405-6243",1995-06-27,2013-12-31,8151,"Starr, Ruth A",,General Wholesaler,Other,-120.698406584419,35.260374684696,11210,1,R-2,053-111-057
11703,Ratliff Welding & Machine Shop,Repair Services,245 HIGUERA ST,"SAN LUIS OBISPO, CA 93401-5014",1982-07-01,2016-01-01,73141,"Ratliff Jr, Fred",,General Service,Service,-120.669947515514,35.270964255352,15954,1,C-S,003-721-034
11704,"Rattlers Baseball Development Group, Inc.",Home Occupation,241 PRADO RD,"SAN LUIS OBISPO, CA 93401-7309",2006-11-01,2013-06-11,105277,"Hite, William D",Summer Collegiate Baseball Club,General Service,Service,-120.666031173011,35.253977958932,7065,1,C-S,053-255-019
11705,Raul J Cano / Patricia Cano,Rental- Residential,750 CHORRO ST APT 15,"SAN LUIS OBISPO, CA 93401-2764",2010-09-09,2011-05-23,108454,"Cano, Raul",,Residential Rental,Rental,-120.665214399068,35.282653775497,5657,1,R-4,002-303-020
11706,Ravatt Albrecht & Assoc Inc,Architect,1371 PACIFIC ST,"SAN LUIS OBISPO, CA 93401-3317",2001-01-17,2022-08-04,12434,"Albrecht, James",Architect / Engineer,Professional Service,Service,-120.654228533649,35.282848824291,9179,1,R-2,002-343-007
11707,Rave Hair Studio,Beauty Salon,1435 MONTEREY ST,"SAN LUIS OBISPO, CA 93401-2925",1986-09-05,2020-06-30,53260,"Livingston, Heather S",Beauty Salon,General Service,Service,-120.655239713949,35.285552856009,14427,1,C-R,001-231-024
11708,Ray & Jane Huston Rental Unit,Rental- Residential,1360 LAUREL LN,"SAN LUIS OBISPO, CA 93401-5827",2010-08-31,2012-08-14,108128,"Huston, Ray & Jane",Condominium Rental,Residential Rental,Rental,-120.639241655749,35.26725514352,5666,1,R-3,004-984-010
11709,Ray And Karen Posenaer,Rental- Residential,1239 E FOOTHILL BLVD #104,"SAN LUIS OBISPO, CA 93405-1478",2010-09-08,,108348,"Posenaer, Karen",Rental,Residential Rental,Rental,-120.663233205767,35.295215907984,5658,0,R-4,052-072-024
11710,Ray Bunnell,Rental- Residential,2 LOCATION PROPERTY RENTALS,"SAN LUIS OBISPO, CA 93401",2010-09-10,,108546,"Dan Scarry, Ray Bunnell",,Commercial Rental Property,Rental,,,5656,0,,
11711,"Ray E Crosno And Sandra J Crosno, Trustees",Rental- Residential,1438 NIPOMO ST,"SAN LUIS OBISPO, CA 93401-3937",2010-09-28,2022-05-11,109160,"Crosno, Ray E Or Sandra J",Residential Rental Property,Residential Rental,Rental,-120.663307986595,35.275578631565,5638,1,R-2,003-531-001
11712,Ray Fruscella,Rental- Residential,130 E FOOTHILL BLVD,"SAN LUIS OBISPO, CA 93405-1538",2010-08-13,,107996,"Fruscella, Ray Or Sandra",Renting Private Home,Residential Rental,Rental,-120.685569133583,35.294198208604,5684,0,R-1,052-312-043
11713,Ray H & Evelyn L Morton,Rental- Residential,2 LOCATION PROPERTY RENTALS,"SAN LUIS OBISPO, CA 93401",1984-05-01,,31425,"Morton, Ray H",,Residential Rental,Rental,,,15284,0,,
11714,Ray H Morton,Rental- Residential,2 LOCATION PROPERTY RENTALS,"SAN LUIS OBISPO, CA 93401",2010-08-13,2011-06-14,107997,"Morton, Ray",Property Rental,Residential Rental,Rental,,,5684,1,,
11715,Ray Uder,Rental- Residential,2 LOCATIONS +,"SAN LUIS OBISPO, CA 93401",1992-03-31,,4938,Ray Uder,Residential Rental Property,Residential Rental,Rental,,,12393,0,,
11716,Raye E Fleming,Rental- Residential,570 PEACH ST APT 19,"SAN LUIS OBISPO, CA 93401-2226",2000-12-21,,70253,"Fleming, Raye E",,Residential Rental,Rental,-120.667065,35.281132,9206,0,R-3,002-305-030
11717,Rayleen A Wight,Rental- Residential,510 STANFORD DR,"SAN LUIS OBISPO, CA 93405-1121",2003-02-06,,13558,"Wight, Rayleen",Rental-Residential,Residential Rental,Rental,-120.678460016607,35.298638255837,8429,0,R-1,052-495-014
11718,Raymond & Letitia Moore,Rental- Residential,250 WARREN WAY,"SAN LUIS OBISPO, CA 93405-1260",1992-03-12,2014-09-01,4062,"Moore, Raymond",,Residential Rental,Rental,-120.682132332907,35.297602455677,12412,1,R-1,052-401-007
11719,Raymond D & Mary E Potts,Rental- Residential,2 LOCATIONS,"SAN LUIS OBISPO, CA 93401-2318",2001-02-15,,70776,"Potts, Raymond D & Mary E",,Residential Rental,Rental,,,9150,0,,
11720,Raymond Ensing Structural Integration,Professional,697 HIGUERA ST C,"SAN LUIS OBISPO, CA 93401-3544",1988-08-01,2009-10-08,794,"Ensing, Raymond",Professional Services/Education,Downtown Association,Downtown Association,-120.664522425027,35.278803102667,13731,1,C-D,002-422-008
11721,Raymond Ensing Structural Integration,Professional,561 LAWRENCE DR,"SAN LUIS OBISPO, CA 93401-5611",2014-08-28,,112266,"Ensing, Raymond",Somatic therapy & education,Professional Service,Service,-120.655199828169,35.264013233063,4208,0,R-1,004-942-008
11722,Raymond J And Brook V Soto,Rental- Residential,76 DEL ORO CT,"SAN LUIS OBISPO, CA 93401-7706",2011-02-10,2016-11-02,109947,"Soto, Raymond J",Residential Rental Property,Residential Rental,Rental,-120.678720327156,35.243348668595,5503,1,R-1,053-262-084
11723,Raymond Ramirez,Barber,1033 CHORRO ST,"SAN LUIS OBISPO, CA 93401-3222",2019-01-04,2021-10-26,115464,"Ramirez, Raymond",Barber - Haircuts And Shaves,Downtown Association,Downtown Association,-120.663139471796,35.280086593421,2618,1,C-D,002-423-045
11724,Rayven's OT services,Medical Services,207 HIGUERA ST APT 303,"SAN LUIS OBISPO, CA 93401-5014",2023-09-25,2025-04-24,120044,"Johnson , Rayven",,Professional Service,Service,-120.670183285748,35.269765937421,893,1,C-S,003-721-049
11725,Raz Industries,Misc Business Services,1720 JOHNSON AVE,"SAN LUIS OBISPO, CA 93401-4146",2005-09-13,2012-06-30,17262,"Ohanessian, Sirush",,Professional Service,Service,-120.651082345469,35.279796132625,7479,1,R-2,003-566-040
11726,Razz Enterprises,Retail,481 MADONNA RD D,"SAN LUIS OBISPO, CA 93405-6508",2002-01-31,2007-06-12,12966,"Rasmussen, William & Susan",,General Retailer,Retail,-120.679740768068,35.261504130296,8800,1,C-R,053-012-003
11727,Razzari Family Trust,Rental- Residential,3250 FLORA ST,"SAN LUIS OBISPO, CA 93401-6052",2010-10-28,2018-02-22,109586,"Razzari, Janet",Residential Rental Property,Residential Rental,Rental,-120.634457397592,35.266205407262,5608,1,R-1,004-992-014
11728,RBC Capital Markets Corporation,Financial Institution,656 SANTA ROSA ST STE 3B,"SAN LUIS OBISPO, CA 93401-2811",2003-02-04,2010-10-13,13556,"Kavanagh, Michael R",,General Service,Service,-120.662368071741,35.285490691437,8431,1,O,002-315-027
11729,Rbenjaminross Photography,Home Occupation,1750 PREFUMO CANYON RD APT 61,"SAN LUIS OBISPO, CA 93405-6110",2012-01-17,2013-07-29,110585,"Ross, R Benjamin",Photography,Professional Service,Service,-120.701217913149,35.261296305413,5162,1,R-2,053-243-093
11730,Rc Wilson,Contractor- Specialty,1771 CORDOVA DR,"SAN LUIS OBISPO, CA 93405-4715",2006-01-24,,17505,"Wilson, Robert C",,Contractor,Service,-120.706994617138,35.266366241634,7346,0,R-1,053-281-014
11731,RCrafty Creations,Home Occupation,365 BUCHON ST APT A,"SAN LUIS OBISPO, CA 93401-4325",2009-11-12,2010-11-22,107418,"Romine, Amber",Online Craft Store Selling Cricut And Provo Products,General Retailer,Retail,-120.666101088189,35.273105648945,5958,1,R-2,003-612-026
11732,Rcs Automotive,Auto Mechanic/Detailer/Services,835 CAPITOLIO WAY 6,"SAN LUIS OBISPO, CA 93401-7127",1995-03-01,2007-11-27,7658,"Carter, Rex W",,General Service,Service,-120.643847917996,35.257451213098,11328,1,M,053-062-028
11733,RDJ Fabrication,Manufacturing,200 SUBURBAN RD STE E,"SAN LUIS OBISPO, CA 93401-7505",2013-12-26,2015-01-06,111839,", Quaintance Family Trust",Fabricating Sheet Metal,General Manufacturer,Other,-120.669350556534,35.244077119032,4453,1,C-S,053-257-024
11734,Rdl Designs,,979 OSOS ST STE B2,"SAN LUIS OBISPO, CA 93401-3252",1982-07-01,2010-10-30,72173,"Lombardi, Robert",,Downtown Association,Downtown Association,-120.661564251998,35.281952972386,15954,1,C-D,002-322-027
11735,Re/Max Success,Real Estate Agent,669 PACIFIC ST STE A,"SAN LUIS OBISPO, CA 93401-3938",2004-01-12,,14540,"Williams, Elissa K",Real Estate Sales,Downtown Association,Downtown Association,-120.663490702461,35.277108955058,8089,0,O,003-522-005
11736,Rea & Luker Architects Inc,Architect,444 HIGUERA ST 201,"SAN LUIS OBISPO, CA 93401-3875",1987-07-01,,3799,"Rea, Randolph L",Architectural Firm,General Service,Service,-120.668804012788,35.275936161037,14128,0,C-R,002-511-029
11737,Rea Rawson & Peachey,Rental- Commercial,444 HIGUERA ST 201,"SAN LUIS OBISPO, CA 93401-3875",1997-06-18,,9883,,,Commercial Rental Property,Rental,-120.668804012788,35.275936161037,10488,0,C-R,002-511-029
11738,Reade Pura,Rental- Residential,35 STENNER ST UNIT I,"SAN LUIS OBISPO, CA 93405-1871",2022-04-01,,118431,"Reade, Chris",Rental Unit,Residential Rental,Rental,-120.663399508894,35.292458870036,1435,0,R-3,052-192-009
11739,Readers Choice Of The Central Coast,,720 AEROVISTA PL STE,"SAN LUIS OBISPO, CA 93401-8706",2003-10-29,2010-10-11,14421,"Renfroe, Jerry",,General Service,Service,-120.640172575872,35.243039341698,8164,1,BP,053-412-016
11740,Ready Apartments,Rental- Residential,870 BROAD ST,"SAN LUIS OBISPO, CA 93401-3533",1991-06-21,,3186,"Ready, Paul & Bridget",Residential Rental Property,Residential Rental,Rental,-120.665462442243,35.281062824522,12677,0,R-4,002-413-019
11741,"Ready Golf Club, LLC",Misc Business Services,3000 BROAD ST 104,"SAN LUIS OBISPO, CA 93401-6784",2025-06-01,,121328,"Stearns, Justin","Indoor golf simulation for practice, instruction & play. Membership only and appointment required.",General Service,Service,-120.650740829964,35.26243522248,278,0,C-S,053-196-009
11742,Ready Images,Photographic Studio/Portrait,1254 MARSH ST,"SAN LUIS OBISPO, CA 93401-3326",2018-10-03,,115293,"Ready, Christine",Photography,General Service,Service,-120.656505086479,35.282629899015,2711,0,O,002-332-011
11743,Reagan K & Janet Bauer,Rental- Residential,483 HIGH ST,"SAN LUIS OBISPO, CA 93401-5168",1992-03-12,,4082,"Bauer, Reagan K",Residential Rental Property,Residential Rental,Rental,-120.661589498738,35.272125865467,12412,0,R-2,003-737-017
11744,Real Estate Group Of SLO,Real Estate Agent,962 MILL ST,"SAN LUIS OBISPO, CA 93401-2704",1985-06-01,2015-02-23,73380,"Hough, Johnny C",,General Service,Service,-120.663206725505,35.283308496304,14888,1,O,002-312-017
11745,Real Estate Rental,Rental- Residential,990 GOLDENROD LN,"SAN LUIS OBISPO, CA 93401-7841",2019-07-29,2025-09-23,115964,"Tomkins, James",Residential Rental,Residential Rental,Rental,-120.635084108702,35.243828155685,2412,1,R-1,053-400-016
11746,REAL FUEL 805,Caterer,4750 ALLENE WAY,"SAN LUIS OBISPO, CA 93401-8734",2024-11-01,,120899,REAL FUEL 805,Catering,General Service,Service,-120.633391147152,35.238228481369,490,0,C-S,053-427-007
11747,Real Love Records,Home Occupation,518 SERRANO DR,"SAN LUIS OBISPO, CA 93405-1750",2006-12-04,2013-07-13,105340,"Frankel, Paul Warren",Record Label,General Service,Service,-120.676444365893,35.290429456017,7032,1,R-1,052-543-006
11748,Real Presley Lawn Service Landscaping,Home Occupation,1375 PACIFIC ST,"SAN LUIS OBISPO, CA 93401-3317",2021-09-15,2021-12-31,117539,"Real, Raymond",Lawn Service Maintenance,General Service,Service,-120.654179308434,35.282882203029,1633,1,R-2,002-343-007
11749,Real Property Investments,Real Estate Agent,11549 Los Osos Valley RD Ste 104,"San Luis Obispo, CA 93405-6471",1998-09-17,,11027,Real Property Investments,Real Estate sales and leasing,General Service,Service,-120.691294089766,35.257099396917,10032,0,O,053-102-030
11750,"Really Right Stuff, LLC",Retail,205 HIGUERA ST,"SAN LUIS OBISPO, CA 93401-5014",2009-05-12,2012-11-05,106974,"Johnson, Joan",Design & Sell Camera Support Equipment - Internet And Mail Order,General Retailer,Retail,-120.670195694708,35.269702868056,6142,1,C-S,003-721-049
11751,Really Right Systems,Home Occupation,1157 MADONNA RD,"SAN LUIS OBISPO, CA 93405-6511",2009-10-20,2011-02-14,107371,"Johnson, Erik",Custom Ordered And Hand Assembled Computers,General Service,Service,-120.685715403001,35.258680556414,5981,1,R-1,004-621-004
11752,"Realty Systems, Inc",Property Management,1801 PREFUMO CANYON RD,"SAN LUIS OBISPO, CA 93405-6199",2010-02-18,,107579,"Ferda, Teddi",Caretaker/Property Manager On-Site; Admin Office In Chicago,Professional Service,Service,-120.700978199903,35.26132572196,5860,0,R-2,053-111-057
